study_key,study_label,family_key,family_label,contrast_key,contrast_label,outcome,estimate,stderr,ci_low,ci_high,p_value,mde,n,p_adjusted,layer1_p_adjusted,layer2_p_adjusted
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,liberal_ideologues,Ideologues (liberal),pro_fraction_chosen,0.07140492009074526,0.023634772890715645,0.02508076522494259,0.11772907495654791,0.002517910329330242,0.06621483036408606,563,0.04028656526928387,0.0015283461653226027,0.04028656526928387
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,liberal_ideologues,Ideologues (liberal),positive_interactions,0.008091809627732809,0.12041551946477165,-0.2279226085232196,0.24410622777868524,0.946423234039294,0.33735433936389864,577,1.0,0.0015283461653226027,0.04028656526928387
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,liberal_ideologues,Ideologues (liberal),platform_duration,,,,,,,0,,0.0015283461653226027,0.04028656526928387
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,conservative_ideologues,Ideologues (conservative),pro_fraction_chosen,-0.1044467281475673,0.025685795074832443,-0.1547908864942389,-0.05410256980089571,4.7760817666331334e-05,0.07196094379712945,525,0.0007641730826613014,0.0015283461653226027,0.0015283461653226027
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,conservative_ideologues,Ideologues (conservative),positive_interactions,-0.042480945807852985,0.08053788605145006,-0.20033520246869507,0.11537331085298912,0.5978704591125854,0.22563375105980907,551,1.0,0.0015283461653226027,0.0015283461653226027
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,conservative_ideologues,Ideologues (conservative),platform_duration,,,,,,,0,,0.0015283461653226027,0.0015283461653226027
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderate_liberal_seed,Moderates (liberal seed),pro_fraction_chosen,0.10504138883177837,0.039984110897358156,0.02667253147295638,0.18341024619060037,0.00861215223076428,0.11201889404942825,254,,0.0015283461653226027,0.06889721784611424
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderate_liberal_seed,Moderates (liberal seed),positive_interactions,-0.3399847369321993,0.1555315966277793,-0.6448266663226467,-0.03514280754175192,0.028819055050114395,0.4357350220618952,264,,0.0015283461653226027,0.06889721784611424
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderate_liberal_seed,Moderates (liberal seed),platform_duration,,,,,,,0,,0.0015283461653226027,0.06889721784611424
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderate_conservative_seed,Moderates (conservative seed),pro_fraction_chosen,-0.10486800931459515,0.038276569022597434,-0.1798900845988861,-0.02984593403030418,0.00614870119916322,0.1072350699737897,275,,0.0015283461653226027,0.06558614612440768
